path,slug,variant,base_local,base_s3,prompt,nim_safe_prompt,t2i_prompt,ratio,done
content/scenes/north/assets/north__sunset.png,north,sunset,content/scenes/north/assets/north__default.png,s3://las-flores/backgrounds/north/north__default.png,"Use the base scene as reference. Re-light the avenue with golden-hour sun: long warm shadows, amber light on the building façades, the street glowing in the last daylight. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the avenue with golden-hour sun: long warm shadows, amber light on the building façades, the street glowing in the last daylight. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A residential avenue in the Northern District of Las Flores 2077: mixed-use blocks of mid-rise housing and small commercial storefronts. A wide street with modest signage, a neighborhood park, and warm detail in the façades. Even daylight, familiar and comfortable. Re-light the avenue with golden-hour sun: long warm shadows, amber light on the building façades, the street glowing in the last daylight. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/northeast/assets/northeast__night.png,northeast,night,content/scenes/northeast/assets/northeast__default.png,s3://las-flores/backgrounds/northeast/northeast__default.png,"Use the base scene as reference. Re-light the quarter as a night scene: cranes silhouetted against a dark sky, work-site floodlights and glowing new façades, the older buildings in shadow, cooler blue palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the quarter as a night scene: cranes silhouetted against a dark sky, work-site floodlights and glowing new façades, the older buildings in shadow, cooler blue palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A street in the rapidly developing Northeast Quarter of Las Flores 2077. New towers rise beside aging buildings, scaffolding and construction cranes dominate the skyline, raw concrete and fresh glass clash with weathered façades. Bright, transitional, uneven. Re-light the quarter as a night scene: cranes silhouetted against a dark sky, work-site floodlights and glowing new façades, the older buildings in shadow, cooler blue palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/northeast/assets/northeast__sunset.png,northeast,sunset,content/scenes/northeast/assets/northeast__default.png,s3://las-flores/backgrounds/northeast/northeast__default.png,"Use the base scene as reference. Re-light the quarter with a golden sunset: amber light reflecting off the new glass towers, long shadows from the scaffolding, warm glow on the raw concrete. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the quarter with a golden sunset: amber light reflecting off the new glass towers, long shadows from the scaffolding, warm glow on the raw concrete. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A street in the rapidly developing Northeast Quarter of Las Flores 2077. New towers rise beside aging buildings, scaffolding and construction cranes dominate the skyline, raw concrete and fresh glass clash with weathered façades. Bright, transitional, uneven. Re-light the quarter with a golden sunset: amber light reflecting off the new glass towers, long shadows from the scaffolding, warm glow on the raw concrete. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/pacific/assets/pacific__night.png,pacific,night,content/scenes/pacific/assets/pacific__default.png,s3://las-flores/backgrounds/pacific/pacific__default.png,"Use the base scene as reference. Re-light the coast as a night scene: the harbour lit by mooring lamps and neon from the market stalls, reflections shimmering on the dark water, the fishing fleet at rest. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the coast as a night scene: the harbour lit by mooring lamps and neon from the market stalls, reflections shimmering on the dark water, the fishing fleet at rest. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The Pacific edge of Las Flores 2077: fishing boats moored in a working harbour, seafood market stalls along the waterfront, salt-worn docks and coiled ropes. The tide is rising beneath a misty coastal sky as harbour lights begin to glow. Maritime and salt-worn. Re-light the coast as a night scene: the harbour lit by mooring lamps and neon from the market stalls, reflections shimmering on the dark water, the fishing fleet at rest. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/pacific/assets/pacific__sunset.png,pacific,sunset,content/scenes/pacific/assets/pacific__default.png,s3://las-flores/backgrounds/pacific/pacific__default.png,"Use the base scene as reference. Re-light the coast with a golden-hour sunset: warm amber over the water and boat hulls, long shadows on the docks, the market stalls catching the last light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the coast with a golden-hour sunset: warm amber over the water and boat hulls, long shadows on the docks, the market stalls catching the last light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The Pacific edge of Las Flores 2077: fishing boats moored in a working harbour, seafood market stalls along the waterfront, salt-worn docks and coiled ropes. The tide is rising beneath a misty coastal sky as harbour lights begin to glow. Maritime and salt-worn. Re-light the coast with a golden-hour sunset: warm amber over the water and boat hulls, long shadows on the docks, the market stalls catching the last light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/parque_atracciones/assets/parque_atracciones__night.png,parque_atracciones,night,content/scenes/parque_atracciones/assets/parque_atracciones__default.png,s3://las-flores/backgrounds/parque_atracciones/parque_atracciones__default.png,"Use the base scene as reference. Re-light the midway as a night scene: carnival lights and holographic projections blazing bright against a dark sky, saturated neon, the ride frames glowing, deep shadows between stalls. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the midway as a night scene: carnival lights and holographic projections blazing bright against a dark sky, saturated neon, the ride frames glowing, deep shadows between stalls. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The central midway of the Parque de Atracciones in Las Flores 2077. Holographic overlays transform aged mechanical ride frames into vivid spectacle, bright carnival lights and sponsor kiosks line both sides of the walkway. Stimulating and saturated. Re-light the midway as a night scene: carnival lights and holographic projections blazing bright against a dark sky, saturated neon, the ride frames glowing, deep shadows between stalls. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/parque_atracciones/assets/parque_atracciones__sunset.png,parque_atracciones,sunset,content/scenes/parque_atracciones/assets/parque_atracciones__default.png,s3://las-flores/backgrounds/parque_atracciones/parque_atracciones__default.png,"Use the base scene as reference. Re-light the midway with a warm dusk sky: golden light mixing with the first neon, soft amber over the stalls and projections, long evening shadows. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the midway with a warm dusk sky: golden light mixing with the first neon, soft amber over the stalls and projections, long evening shadows. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The central midway of the Parque de Atracciones in Las Flores 2077. Holographic overlays transform aged mechanical ride frames into vivid spectacle, bright carnival lights and sponsor kiosks line both sides of the walkway. Stimulating and saturated. Re-light the midway with a warm dusk sky: golden light mixing with the first neon, soft amber over the stalls and projections, long evening shadows. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/rainy_street_motorcycle/assets/rainy_street_motorcycle__night.png,rainy_street_motorcycle,night,content/scenes/rainy_street_motorcycle/assets/rainy_street_motorcycle__default.png,s3://las-flores/backgrounds/rainy_street_motorcycle/rainy_street_motorcycle__default.png,"Use the base scene as reference. Re-light the scene as a deeper night: neon bleeding brighter, wet-asphalt reflections stronger, darker sky, the motorcycle's underglow more electric, cooler blue-magenta palette. Same cyberpunk neon-lit environment, same motorcycle, same street, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the scene as a deeper night: neon bleeding brighter, wet-asphalt reflections stronger, darker sky, the motorcycle's underglow more electric, cooler blue-magenta palette. Same cyberpunk neon-lit environment, same motorcycle, same street, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Rainy Street Motorcycle in Las Flores 2077. Cyberpunk aesthetic, neon-lit urban environment, rain-soaked asphalt reflecting electric blue underglow and crimson and amber neon from noodle stalls and chop shops. Re-light the scene as a deeper night: neon bleeding brighter, wet-asphalt reflections stronger, darker sky, the motorcycle's underglow more electric, cooler blue-magenta palette. Same cyberpunk neon-lit environment, same motorcycle, same street, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/rainy_street_motorcycle/assets/rainy_street_motorcycle__sunset.png,rainy_street_motorcycle,sunset,content/scenes/rainy_street_motorcycle/assets/rainy_street_motorcycle__default.png,s3://las-flores/backgrounds/rainy_street_motorcycle/rainy_street_motorcycle__default.png,"Use the base scene as reference. Re-light the scene as golden hour: long shadows across the wet asphalt, amber underglow and warm neon, the motorcycle chrome catching orange light, the rain still falling. Same cyberpunk neon-lit environment, same motorcycle, same street, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the scene as golden hour: long shadows across the wet asphalt, amber underglow and warm neon, the motorcycle chrome catching orange light, the rain still falling. Same cyberpunk neon-lit environment, same motorcycle, same street, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Rainy Street Motorcycle in Las Flores 2077. Cyberpunk aesthetic, neon-lit urban environment, rain-soaked asphalt reflecting electric blue underglow and crimson and amber neon from noodle stalls and chop shops. Re-light the scene as golden hour: long shadows across the wet asphalt, amber underglow and warm neon, the motorcycle chrome catching orange light, the rain still falling. Same cyberpunk neon-lit environment, same motorcycle, same street, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/rainy_street_motorcycle/assets/rainy_street_motorcycle__day.png,rainy_street_motorcycle,day,content/scenes/rainy_street_motorcycle/assets/rainy_street_motorcycle__default.png,s3://las-flores/backgrounds/rainy_street_motorcycle/rainy_street_motorcycle__default.png,"Use the base scene as reference. Re-light the scene as a clear dry day: dry asphalt, muted neon during daytime, harsher tropical light, the parked motorcycle with chrome catching white sun. Same cyberpunk neon-lit environment, same motorcycle, same street, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the scene as a clear dry day: dry asphalt, muted neon during daytime, harsher tropical light, the parked motorcycle with chrome catching white sun. Same cyberpunk neon-lit environment, same motorcycle, same street, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Rainy Street Motorcycle in Las Flores 2077. Cyberpunk aesthetic, neon-lit urban environment, rain-soaked asphalt reflecting electric blue underglow and crimson and amber neon from noodle stalls and chop shops. Steam rising from underground grates, chrome and carbon fiber glinting. Re-light the scene as a clear dry day: dry asphalt, muted neon during daytime, harsher tropical light, the parked motorcycle with chrome catching white sun. Same cyberpunk neon-lit environment, same motorcycle, same street, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/school_classroom/assets/school_classroom__night.png,school_classroom,night,content/scenes/school_classroom/assets/school_classroom__default.png,s3://las-flores/backgrounds/school_classroom/school_classroom__default.png,"Use the base scene as reference. Re-light the classroom as a night scene: outside darkness, corporate billboard neon through the rain-streaked windows much brighter, electric shadows deeper across the desks, cool blue palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the classroom as a night scene: outside darkness, corporate billboard neon through the rain-streaked windows much brighter, electric shadows deeper across the desks, cool blue palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","School Classroom in Las Flores 2077. Cyberpunk aesthetic, neon-lit urban environment, rain-streaked windows casting electric shadows across desks wired with biometric scanners, holographic projectors flickering above. Surveillance-grade tension in the humid, filtered air. Re-light the classroom as a night scene: outside darkness, corporate billboard neon through the rain-streaked windows much brighter, electric shadows deeper across the desks, cool blue palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/school_classroom/assets/school_classroom__sunset.png,school_classroom,sunset,content/scenes/school_classroom/assets/school_classroom__default.png,s3://las-flores/backgrounds/school_classroom/school_classroom__default.png,"Use the base scene as reference. Re-light the classroom with golden-hour sun through the windows: warm amber mixing with the neon streaks, long soft shadows across the scanner desks. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the classroom with golden-hour sun through the windows: warm amber mixing with the neon streaks, long soft shadows across the scanner desks. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","School Classroom in Las Flores 2077. Cyberpunk aesthetic, neon-lit urban environment, rain-streaked windows casting electric shadows across desks wired with biometric scanners, holographic projectors flickering above. Surveillance-grade tension in the humid, filtered air. Re-light the classroom with golden-hour sun through the windows: warm amber mixing with the neon streaks, long soft shadows across the scanner desks. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/school_classroom/assets/school_classroom__day.png,school_classroom,day,content/scenes/school_classroom/assets/school_classroom__default.png,s3://las-flores/backgrounds/school_classroom/school_classroom__default.png,"Use the base scene as reference. Re-light the classroom as a clear dry day: bright natural daylight through the windows, no rain streaks, muted cooler light on the desks and holographic displays. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the classroom as a clear dry day: bright natural daylight through the windows, no rain streaks, muted cooler light on the desks and holographic displays. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","School Classroom in Las Flores 2077. Cyberpunk aesthetic, neon-lit urban environment, rain-streaked windows casting electric shadows across desks wired with biometric scanners, holographic projectors flickering above. Surveillance-grade tension in the humid, filtered air. Re-light the classroom as a clear dry day: bright natural daylight through the windows, no rain streaks, muted cooler light on the desks and holographic displays. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/secondary_city_sunset/assets/secondary_city_sunset__night.png,secondary_city_sunset,night,content/scenes/secondary_city_sunset/assets/secondary_city_sunset__default.png,s3://las-flores/backgrounds/secondary_city_sunset/secondary_city_sunset__default.png,"Use the base scene as reference. Re-light the scene as a night version: the sun gone, smog and dark sky, neon agribusiness signs and holographic ads blazing brighter, reflections stronger in the wet furrows, cooler palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the scene as a night version: the sun gone, smog and dark sky, neon agribusiness signs and holographic ads blazing brighter, reflections stronger in the wet furrows, cooler palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Secondary City Sunset in Las Flores 2077. Cyberpunk aesthetic, neon-lit agrarian fringe: the sun bleeding through smog, holographic ads above rusting irrigation, neon agribusiness signs reflecting in rain-slicked furrows, amber-glow earth. Melancholic and transitional. Re-light the scene as a night version: the sun gone, smog and dark sky, neon agribusiness signs and holographic ads blazing brighter, reflections stronger in the wet furrows, cooler palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/secondary_city_sunset/assets/secondary_city_sunset__day.png,secondary_city_sunset,day,content/scenes/secondary_city_sunset/assets/secondary_city_sunset__default.png,s3://las-flores/backgrounds/secondary_city_sunset/secondary_city_sunset__default.png,"Use the base scene as reference. Re-light the scene as a clear dry day: bright flat daylight through thin smog, dry terraced fields, muted neon, harsher tropical light on the irrigation systems. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the scene as a clear dry day: bright flat daylight through thin smog, dry terraced fields, muted neon, harsher tropical light on the irrigation systems. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Secondary City Sunset in Las Flores 2077. Cyberpunk aesthetic, neon-lit agrarian fringe: the sun bleeding through smog, holographic ads above rusting irrigation, neon agribusiness signs reflecting in rain-slicked furrows, amber-glow earth. Melancholic and transitional. Re-light the scene as a clear dry day: bright flat daylight through thin smog, dry terraced fields, muted neon, harsher tropical light on the irrigation systems. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/southeast/assets/southeast__night.png,southeast,night,content/scenes/southeast/assets/southeast__default.png,s3://las-flores/backgrounds/southeast/southeast__default.png,"Use the base scene as reference. Re-light the barrio as a night scene: warm streetlights and a few neon accents lighting the murals, the painted walls glowing in the dark, cool shadows on the street. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the barrio as a night scene: warm streetlights and a few neon accents lighting the murals, the painted walls glowing in the dark, cool shadows on the street. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A vibrant residential street in the Southeast Barrio of Las Flores 2077. Murals cover every wall, stories of resistance and hope in vivid paint, laundry lines stretch overhead, a small community park opens between the colorful façades. Warm afternoon sun, resilient and expressive. Re-light the barrio as a night scene: warm streetlights and a few neon accents lighting the murals, the painted walls glowing in the dark, cool shadows on the street. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/southeast/assets/southeast__sunset.png,southeast,sunset,content/scenes/southeast/assets/southeast__default.png,s3://las-flores/backgrounds/southeast/southeast__default.png,"Use the base scene as reference. Re-light the barrio with a golden sunset: warm amber light raking across the murals, long shadows, the painted colors deepened and glowing. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the barrio with a golden sunset: warm amber light raking across the murals, long shadows, the painted colors deepened and glowing. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A vibrant residential street in the Southeast Barrio of Las Flores 2077. Murals cover every wall, stories of resistance and hope in vivid paint, laundry lines stretch overhead, a small community park opens between the colorful façades. Warm afternoon sun, resilient and expressive. Re-light the barrio with a golden sunset: warm amber light raking across the murals, long shadows, the painted colors deepened and glowing. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/the_apartment/assets/the_apartment__night.png,the_apartment,night,content/scenes/the_apartment/assets/the_apartment__default.png,s3://las-flores/backgrounds/the_apartment/the_apartment__default.png,"Use the base scene as reference. Re-light the apartment as a deep night scene: the room darker, neon streetlight through the rain-streaked window much brighter and cooler, sharp shadows on the white walls. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the apartment as a deep night scene: the room darker, neon streetlight through the rain-streaked window much brighter and cooler, sharp shadows on the white walls. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A small, sterile apartment in the N&M LTD residential block of Las Flores 2077. White walls, minimal furniture, one window onto the neon streets below. Rain streaks the glass, casting shifting neon light across the room, cool and tense. Re-light the apartment as a deep night scene: the room darker, neon streetlight through the rain-streaked window much brighter and cooler, sharp shadows on the white walls. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/the_apartment/assets/the_apartment__sunset.png,the_apartment,sunset,content/scenes/the_apartment/assets/the_apartment__default.png,s3://las-flores/backgrounds/the_apartment/the_apartment__default.png,"Use the base scene as reference. Re-light the apartment with golden-hour light through the window: warm amber washes across the white walls and minimal furniture, the rain catching afternoon light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the apartment with golden-hour light through the window: warm amber washes across the white walls and minimal furniture, the rain catching afternoon light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A small, sterile apartment in the N&M LTD residential block of Las Flores 2077. White walls, minimal furniture, one window onto the neon streets below. Rain streaks the glass, casting shifting neon light across the room, cool and tense. Re-light the apartment with golden-hour light through the window: warm amber washes across the white walls and minimal furniture, the rain catching afternoon light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/the_apartment/assets/the_apartment__day.png,the_apartment,day,content/scenes/the_apartment/assets/the_apartment__default.png,s3://las-flores/backgrounds/the_apartment/the_apartment__default.png,"Use the base scene as reference. Re-light the apartment as a clear dry day: bright natural daylight through the window, no rain on the glass, muted white interior with crisp shadows. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the apartment as a clear dry day: bright natural daylight through the window, no rain on the glass, muted white interior with crisp shadows. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A small, sterile apartment in the N&M LTD residential block of Las Flores 2077. White walls, minimal furniture, one window onto the neon streets below. Rain streaks the glass, casting shifting neon light across the room, cool and tense. Re-light the apartment as a clear dry day: bright natural daylight through the window, no rain on the glass, muted white interior with crisp shadows. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/welcome_center/assets/welcome_center__night.png,welcome_center,night,content/scenes/welcome_center/assets/welcome_center__default.png,s3://las-flores/backgrounds/welcome_center/welcome_center__default.png,"Use the base scene as reference. Re-light the hall as a night scene: the glass walls dark, the holographic map and monorail lights brighter, rain streaks glowing with city neon, cooler palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the hall as a night scene: the glass walls dark, the holographic map and monorail lights brighter, rain streaks glowing with city neon, cooler palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The official welcome center of Las Flores 2077: a sleek, modern processing hall. A large holographic map cycles district data, orientation kiosks and desks line the clean floor, and the monorail station glows through rain-streaked glass. Polished, neutral, efficient. Re-light the hall as a night scene: the glass walls dark, the holographic map and monorail lights brighter, rain streaks glowing with city neon, cooler palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/welcome_center/assets/welcome_center__sunset.png,welcome_center,sunset,content/scenes/welcome_center/assets/welcome_center__default.png,s3://las-flores/backgrounds/welcome_center/welcome_center__default.png,"Use the base scene as reference. Re-light the hall with golden-hour light through the glass walls: warm amber over the floor and kiosks, the holographic map catching soft light, long reflections. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the hall with golden-hour light through the glass walls: warm amber over the floor and kiosks, the holographic map catching soft light, long reflections. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The official welcome center of Las Flores 2077: a sleek, modern processing hall. A large holographic map cycles district data, orientation kiosks and desks line the clean floor, and the monorail station glows through rain-streaked glass. Polished, neutral, efficient. Re-light the hall with golden-hour light through the glass walls: warm amber over the floor and kiosks, the holographic map catching soft light, long reflections. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/welcome_center/assets/welcome_center__day.png,welcome_center,day,content/scenes/welcome_center/assets/welcome_center__default.png,s3://las-flores/backgrounds/welcome_center/welcome_center__default.png,"Use the base scene as reference. Re-light the hall as a clear dry day: bright daylight through the glass, no rain streaks, crisp clean light on the desks and map. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the hall as a clear dry day: bright daylight through the glass, no rain streaks, crisp clean light on the desks and map. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The official welcome center of Las Flores 2077: a sleek, modern processing hall. A large holographic map cycles district data, orientation kiosks and desks line the clean floor, and the monorail station glows through rain-streaked glass. Polished, neutral, efficient. Re-light the hall as a clear dry day: bright daylight through the glass, no rain streaks, crisp clean light on the desks and map. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
